"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0.6908
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0.086
"US National","Season onset","Bin","week","51","52",0.0274
"US National","Season onset","Bin","week","52","53",0.0148
"US National","Season onset","Bin","week","1","2",0.0066
"US National","Season onset","Bin","week","2","3",0.0091
"US National","Season onset","Bin","week","3","4",0.0107
"US National","Season onset","Bin","week","4","5",0.0096
"US National","Season onset","Bin","week","5","6",0.0104
"US National","Season onset","Bin","week","6","7",0.007
"US National","Season onset","Bin","week","7","8",0.0046
"US National","Season onset","Bin","week","8","9",0.0041
"US National","Season onset","Bin","week","9","10",0.004
"US National","Season onset","Bin","week","10","11",0.0041
"US National","Season onset","Bin","week","11","12",0.0041
"US National","Season onset","Bin","week","12","13",0.0032
"US National","Season onset","Bin","week","13","14",0.0015
"US National","Season onset","Bin","week","14","15",0.0014
"US National","Season onset","Bin","week","15","16",0.0014
"US National","Season onset","Bin","week","16","17",0.0017
"US National","Season onset","Bin","week","17","18",0.0023
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.0952
"US National","Season peak week","Point","week",NA,NA,3
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0.0824885546108567
"US National","Season peak week","Bin","week","49","50",0.0492969260954873
"US National","Season peak week","Bin","week","50","51",0.0483976455199477
"US National","Season peak week","Bin","week","51","52",0.0739862655330281
"US National","Season peak week","Bin","week","52","53",0.117478744277305
"US National","Season peak week","Bin","week","1","2",0.0568999345977763
"US National","Season peak week","Bin","week","2","3",0.0340909090909091
"US National","Season peak week","Bin","week","3","4",0.0466808371484631
"US National","Season peak week","Bin","week","4","5",0.0425114453891432
"US National","Season peak week","Bin","week","5","6",0.0563276651406148
"US National","Season peak week","Bin","week","6","7",0.0767658600392413
"US National","Season peak week","Bin","week","7","8",0.0585349901896664
"US National","Season peak week","Bin","week","8","9",0.0489699149771092
"US National","Season peak week","Bin","week","9","10",0.0185578809679529
"US National","Season peak week","Bin","week","10","11",0.0256703727926749
"US National","Season peak week","Bin","week","11","12",0.0218279921517332
"US National","Season peak week","Bin","week","12","13",0.0227272727272727
"US National","Season peak week","Bin","week","13","14",0.0243623283191629
"US National","Season peak week","Bin","week","14","15",0.0175768476128188
"US National","Season peak week","Bin","week","15","16",0.0109548724656638
"US National","Season peak week","Bin","week","16","17",0.00997383911052976
"US National","Season peak week","Bin","week","17","18",0.00931981687377371
"US National","Season peak week","Bin","week","18","19",0.0111183780248528
"US National","Season peak week","Bin","week","19","20",0.0116088947024199
"US National","Season peak week","Bin","week","20","21",0.0238718116415958
"US National","Season peak percentage","Point","percent",NA,NA,3.3
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0.1009
"US National","Season peak percentage","Bin","percent","2.4","2.5",0.0395
"US National","Season peak percentage","Bin","percent","2.5","2.6",0.0396
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.0466
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0425
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0459
"US National","Season peak percentage","Bin","percent","2.9","3",0.0424
"US National","Season peak percentage","Bin","percent","3","3.1",0.04
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0426
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0373
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0388
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0386
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0345
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0296
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.025
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0283
"US National","Season peak percentage","Bin","percent","3.9","4",0.0258
"US National","Season peak percentage","Bin","percent","4","4.1",0.0263
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0197
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0169
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0188
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0173
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0171
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0147
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0126
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0123
"US National","Season peak percentage","Bin","percent","4.9","5",0.0137
"US National","Season peak percentage","Bin","percent","5","5.1",0.0114
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0102
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0088
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0085
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0078
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0076
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0056
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0072
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0056
"US National","Season peak percentage","Bin","percent","5.9","6",0.0045
"US National","Season peak percentage","Bin","percent","6","6.1",0.0039
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0036
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0025
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0034
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0032
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.003
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0036
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0025
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0025
"US National","Season peak percentage","Bin","percent","6.9","7",0.0016
"US National","Season peak percentage","Bin","percent","7","7.1",0.0023
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0024
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.002
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0013
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0012
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0013
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0011
"US National","Season peak percentage","Bin","percent","7.7","7.8",8e-04
"US National","Season peak percentage","Bin","percent","7.8","7.9",6e-04
"US National","Season peak percentage","Bin","percent","7.9","8",0.000900000000000001
"US National","Season peak percentage","Bin","percent","8","8.1",0.0012
"US National","Season peak percentage","Bin","percent","8.1","8.2",5e-04
"US National","Season peak percentage","Bin","percent","8.2","8.3",7e-04
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0011
"US National","Season peak percentage","Bin","percent","8.4","8.5",4e-04
"US National","Season peak percentage","Bin","percent","8.5","8.6",5e-04
"US National","Season peak percentage","Bin","percent","8.6","8.7",6e-04
"US National","Season peak percentage","Bin","percent","8.7","8.8",6e-04
"US National","Season peak percentage","Bin","percent","8.8","8.9",4e-04
"US National","Season peak percentage","Bin","percent","8.9","9",6e-04
"US National","Season peak percentage","Bin","percent","9","9.1",4e-04
"US National","Season peak percentage","Bin","percent","9.1","9.2",5e-04
"US National","Season peak percentage","Bin","percent","9.2","9.3",3e-04
"US National","Season peak percentage","Bin","percent","9.3","9.4",4e-04
"US National","Season peak percentage","Bin","percent","9.4","9.5",3e-04
"US National","Season peak percentage","Bin","percent","9.5","9.6",2e-04
"US National","Season peak percentage","Bin","percent","9.6","9.7",2e-04
"US National","Season peak percentage","Bin","percent","9.7","9.8",2e-04
"US National","Season peak percentage","Bin","percent","9.8","9.9",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","9.9","10",2e-04
"US National","Season peak percentage","Bin","percent","10","10.1",0
"US National","Season peak percentage","Bin","percent","10.1","10.2",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","10.2","10.3",2e-04
"US National","Season peak percentage","Bin","percent","10.3","10.4",3e-04
"US National","Season peak percentage","Bin","percent","10.4","10.5",2e-04
"US National","Season peak percentage","Bin","percent","10.5","10.6",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","10.6","10.7",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","10.7","10.8",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","10.8","10.9",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","10.9","11",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","11","11.1",2e-04
"US National","Season peak percentage","Bin","percent","11.1","11.2",0
"US National","Season peak percentage","Bin","percent","11.2","11.3",2e-04
"US National","Season peak percentage","Bin","percent","11.3","11.4",0
"US National","Season peak percentage","Bin","percent","11.4","11.5",0
"US National","Season peak percentage","Bin","percent","11.5","11.6",2e-04
"US National","Season peak percentage","Bin","percent","11.6","11.7",0
"US National","Season peak percentage","Bin","percent","11.7","11.8",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","11.8","11.9",0
"US National","Season peak percentage","Bin","percent","11.9","12",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","12","12.1",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","12.1","12.2",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","12.2","12.3",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","12.3","12.4",0
"US National","Season peak percentage","Bin","percent","12.4","12.5",0
"US National","Season peak percentage","Bin","percent","12.5","12.6",0
"US National","Season peak percentage","Bin","percent","12.6","12.7",0
"US National","Season peak percentage","Bin","percent","12.7","12.8",0
"US National","Season peak percentage","Bin","percent","12.8","12.9",0
"US National","Season peak percentage","Bin","percent","12.9","13",0
"US National","Season peak percentage","Bin","percent","13","100",0
"US National","1 wk ahead","Point","percent",NA,NA,2.3
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","1.4","1.5",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","1.5","1.6",0.0011
"US National","1 wk ahead","Bin","percent","1.6","1.7",0.0074
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.0159
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.0322
"US National","1 wk ahead","Bin","percent","1.9","2",0.0602
"US National","1 wk ahead","Bin","percent","2","2.1",0.0872
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.105
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.1212
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.1186
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.1163
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.1005
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0759
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0547
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0374
"US National","1 wk ahead","Bin","percent","2.9","3",0.0273
"US National","1 wk ahead","Bin","percent","3","3.1",0.0174
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.009
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0051
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0036
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0016
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0012
"US National","1 wk ahead","Bin","percent","3.6","3.7",5e-04
"US National","1 wk ahead","Bin","percent","3.7","3.8",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","3.8","3.9",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","3.9","4",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4","4.1",2e-04
"US National","1 wk ahead","Bin","percent","4.1","4.2",0
"US National","1 wk ahead","Bin","percent","4.2","4.3",0
"US National","1 wk ahead","Bin","percent","4.3","4.4",0
"US National","1 wk ahead","Bin","percent","4.4","4.5",0
"US National","1 wk ahead","Bin","percent","4.5","4.6",0
"US National","1 wk ahead","Bin","percent","4.6","4.7",0
"US National","1 wk ahead","Bin","percent","4.7","4.8",0
"US National","1 wk ahead","Bin","percent","4.8","4.9",0
"US National","1 wk ahead","Bin","percent","4.9","5",0
"US National","1 wk ahead","Bin","percent","5","5.1",0
"US National","1 wk ahead","Bin","percent","5.1","5.2",0
"US National","1 wk ahead","Bin","percent","5.2","5.3",0
"US National","1 wk ahead","Bin","percent","5.3","5.4",0
"US National","1 wk ahead","Bin","percent","5.4","5.5",0
"US National","1 wk ahead","Bin","percent","5.5","5.6",0
"US National","1 wk ahead","Bin","percent","5.6","5.7",0
"US National","1 wk ahead","Bin","percent","5.7","5.8",0
"US National","1 wk ahead","Bin","percent","5.8","5.9",0
"US National","1 wk ahead","Bin","percent","5.9","6",0
"US National","1 wk ahead","Bin","percent","6","6.1",0
"US National","1 wk ahead","Bin","percent","6.1","6.2",0
"US National","1 wk ahead","Bin","percent","6.2","6.3",0
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",0
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",0
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
